ID,Año,Campeonato,Equipo,Ganados,Perdidos,Empatados,Puntos,Partidos Jugados,GF,GC,DIF,Logo
1,1931,Campeonato 1931,Argentinos,12,15,7,43,34,49,61,-12,https://logodetimes.com/times/argentinos-juniors/logo-argentinos-juniors-256.png
2,1931,Campeonato 1931,Atlanta,4,23,7,19,34,33,83,-50,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/C.a._atlanta.png/120px-C.a._atlanta.png
3,1931,Campeonato 1931,Boca Juniors,21,6,7,70,34,86,50,36,https://logodetimes.com/times/club-atletico-boca-juniors/club-atletico-boca-juniors-256.png
4,1931,Campeonato 1931,Chacarita,18,10,6,60,34,63,58,5,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Escudo_del_Club_Atl%C3%A9tico_Chacarita_Juniors.svg/160px-Escudo_del_Club_Atl%C3%A9tico_Chacarita_Juniors.svg.png
5,1931,Campeonato 1931,Estudiantes (LP),19,10,5,62,34,104,52,52,https://logodetimes.com/times/estudiantes-de-la-plata/estudiantes-de-la-plata-256.png
6,1931,Campeonato 1931,Ferro,12,14,8,44,34,60,74,-14,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Escudo_del_Club_Ferro_Carril_Oeste.svg/120px-Escudo_del_Club_Ferro_Carril_Oeste.svg.png
7,1931,Campeonato 1931,Gimnasia (LP),9,13,12,39,34,42,64,-22,https://logodetimes.com/times/gimnasia-la-plata/logo-gimnasia-la-plata-256.png
8,1931,Campeonato 1931,Huracan,13,14,7,46,34,58,49,9,https://logodetimes.com/times/huracan/logo-huracan-256.png
9,1931,Campeonato 1931,Independiente,18,9,7,61,34,69,60,9,https://logodetimes.com/times/club-atletico-independiente/club-atletico-independiente-256.png
10,1931,Campeonato 1931,Lanus,9,22,3,30,34,44,83,-39,https://logodetimes.com/times/lanus/logo-lanus-256.png
11,1931,Campeonato 1931,Platense,13,16,4,43,33,53,53,0,https://logodetimes.com/times/club-atletico-platense/club-atletico-platense-256.png
12,1931,Campeonato 1931,Quilmes,12,17,5,41,34,53,62,-9,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Escudo_QAC_Lotto_2012_-_2016.png/120px-Escudo_QAC_Lotto_2012_-_2016.png
13,1931,Campeonato 1931,Racing Club,19,9,6,63,34,82,52,30,https://logodetimes.com/times/racing-club-de-avellaneda/racing-club-de-avellaneda-256.png
14,1931,Campeonato 1931,River Plate,19,8,7,64,34,64,40,24,https://logodetimes.com/times/river-plate/logo-river-plate-5.png
15,1931,Campeonato 1931,San Lorenzo,19,8,7,64,34,81,52,29,https://logodetimes.com/times/san-lorenzo/logo-san-lorenzo-256.png
16,1931,Campeonato 1931,Talleres (RdE),11,21,2,35,34,48,68,-20,https://i.postimg.cc/W4h5L0XM/pngwing-com.png
17,1931,Campeonato 1931,Tigre,7,19,7,28,33,47,70,-23,https://logodetimes.com/times/tigre/logo-tigre-256.png
18,1931,Campeonato 1931,Velez,13,14,7,46,34,63,68,-5,https://logodetimes.com/times/velez-sarsfield/logo-velez-sarsfield-256.png
19,1932,Campeonato 1932,Argentinos,6,17,11,29,34,40,65,-25,https://logodetimes.com/times/argentinos-juniors/logo-argentinos-juniors-256.png
20,1932,Campeonato 1932,Atlanta,6,23,5,23,34,32,82,-50,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/C.a._atlanta.png/120px-C.a._atlanta.png
21,1932,Campeonato 1932,Boca Juniors,21,7,6,69,34,84,45,39,https://logodetimes.com/times/club-atletico-boca-juniors/club-atletico-boca-juniors-256.png
22,1932,Campeonato 1932,Chacarita,12,15,7,43,34,74,73,1,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Escudo_del_Club_Atl%C3%A9tico_Chacarita_Juniors.svg/160px-Escudo_del_Club_Atl%C3%A9tico_Chacarita_Juniors.svg.png
23,1932,Campeonato 1932,Estudiantes (LP),16,10,8,56,34,80,62,18,https://logodetimes.com/times/estudiantes-de-la-plata/estudiantes-de-la-plata-256.png
24,1932,Campeonato 1932,Ferro,13,14,7,46,34,64,59,5,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Escudo_del_Club_Ferro_Carril_Oeste.svg/120px-Escudo_del_Club_Ferro_Carril_Oeste.svg.png
25,1932,Campeonato 1932,Gimnasia (LP),15,11,8,53,34,80,61,19,https://logodetimes.com/times/gimnasia-la-plata/logo-gimnasia-la-plata-256.png
26,1932,Campeonato 1932,Huracan,14,13,7,49,34,58,62,-4,https://logodetimes.com/times/huracan/logo-huracan-256.png
27,1932,Campeonato 1932,Independiente,21,7,7,70,35,69,43,26,https://logodetimes.com/times/club-atletico-independiente/club-atletico-independiente-256.png
28,1932,Campeonato 1932,Lanus,6,21,7,25,34,37,73,-36,https://logodetimes.com/times/lanus/logo-lanus-256.png
29,1932,Campeonato 1932,Platense,12,12,10,46,34,57,65,-8,https://logodetimes.com/times/club-atletico-platense/club-atletico-platense-256.png
30,1932,Campeonato 1932,Quilmes,13,15,6,45,34,50,67,-17,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Escudo_QAC_Lotto_2012_-_2016.png/120px-Escudo_QAC_Lotto_2012_-_2016.png
31,1932,Campeonato 1932,Racing Club,20,5,9,69,34,59,26,33,https://logodetimes.com/times/racing-club-de-avellaneda/racing-club-de-avellaneda-256.png
32,1932,Campeonato 1932,River Plate,23,6,6,75,35,84,43,41,https://logodetimes.com/times/river-plate/logo-river-plate-5.png
33,1932,Campeonato 1932,San Lorenzo,17,6,11,62,34,83,44,39,https://logodetimes.com/times/san-lorenzo/logo-san-lorenzo-256.png
34,1932,Campeonato 1932,Talleres (RdE),5,22,7,22,34,44,74,-30,https://i.postimg.cc/W4h5L0XM/pngwing-com.png
35,1932,Campeonato 1932,Tigre,5,22,7,22,34,49,94,-45,https://logodetimes.com/times/tigre/logo-tigre-256.png
36,1932,Campeonato 1932,Velez,14,13,7,49,34,48,54,-6,https://logodetimes.com/times/velez-sarsfield/logo-velez-sarsfield-256.png
37,1933,Campeonato 1933,Argentinos,8,17,9,33,34,45,71,-26,https://logodetimes.com/times/argentinos-juniors/logo-argentinos-juniors-256.png
38,1933,Campeonato 1933,Atlanta,9,20,5,32,34,46,70,-24,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/C.a._atlanta.png/120px-C.a._atlanta.png
39,1933,Campeonato 1933,Boca Juniors,22,7,5,71,34,86,47,39,https://logodetimes.com/times/club-atletico-boca-juniors/club-atletico-boca-juniors-256.png
40,1933,Campeonato 1933,Chacarita,14,13,7,49,34,55,61,-6,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Escudo_del_Club_Atl%C3%A9tico_Chacarita_Juniors.svg/160px-Escudo_del_Club_Atl%C3%A9tico_Chacarita_Juniors.svg.png
41,1933,Campeonato 1933,Estudiantes (LP),12,16,6,42,34,60,65,-5,https://logodetimes.com/times/estudiantes-de-la-plata/estudiantes-de-la-plata-256.png
42,1933,Campeonato 1933,Ferro,9,15,10,37,34,43,56,-13,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Escudo_del_Club_Ferro_Carril_Oeste.svg/120px-Escudo_del_Club_Ferro_Carril_Oeste.svg.png
43,1933,Campeonato 1933,Gimnasia (LP),21,9,4,67,34,90,55,35,https://logodetimes.com/times/gimnasia-la-plata/logo-gimnasia-la-plata-256.png
44,1933,Campeonato 1933,Huracan,10,17,7,37,34,49,60,-11,https://logodetimes.com/times/huracan/logo-huracan-256.png
45,1933,Campeonato 1933,Independiente,18,11,5,59,34,54,39,15,https://logodetimes.com/times/club-atletico-independiente/club-atletico-independiente-256.png
46,1933,Campeonato 1933,Lanus,7,17,10,31,34,52,76,-24,https://logodetimes.com/times/lanus/logo-lanus-256.png
47,1933,Campeonato 1933,Platense,11,14,9,42,34,61,74,-13,https://logodetimes.com/times/club-atletico-platense/club-atletico-platense-256.png
48,1933,Campeonato 1933,Quilmes,8,16,10,34,34,41,61,-20,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Escudo_QAC_Lotto_2012_-_2016.png/120px-Escudo_QAC_Lotto_2012_-_2016.png
49,1933,Campeonato 1933,Racing Club,21,7,6,69,34,76,33,43,https://logodetimes.com/times/racing-club-de-avellaneda/racing-club-de-avellaneda-256.png
50,1933,Campeonato 1933,River Plate,20,8,6,66,34,71,36,35,https://logodetimes.com/times/river-plate/logo-river-plate-5.png
51,1933,Campeonato 1933,San Lorenzo,22,6,6,72,34,81,48,33,https://logodetimes.com/times/san-lorenzo/logo-san-lorenzo-256.png
52,1933,Campeonato 1933,Talleres (RdE),7,18,9,30,34,61,84,-23,https://i.postimg.cc/W4h5L0XM/pngwing-com.png
53,1933,Campeonato 1933,Tigre,9,21,4,31,34,44,96,-52,https://logodetimes.com/times/tigre/logo-tigre-256.png
54,1933,Campeonato 1933,Velez,15,11,8,53,34,60,43,17,https://logodetimes.com/times/velez-sarsfield/logo-velez-sarsfield-256.png
55,1934,Campeonato 1934,Argentinos,0,12,1,1,13,13,43,-30,https://logodetimes.com/times/argentinos-juniors/logo-argentinos-juniors-256.png
56,1934,Campeonato 1934,Boca Juniors,20,6,9,69,35,89,57,32,https://logodetimes.com/times/club-atletico-boca-juniors/club-atletico-boca-juniors-256.png
57,1934,Campeonato 1934,Chacarita,10,17,7,37,34,58,70,-12,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Escudo_del_Club_Atl%C3%A9tico_Chacarita_Juniors.svg/160px-Escudo_del_Club_Atl%C3%A9tico_Chacarita_Juniors.svg.png
58,1934,Campeonato 1934,Estudiantes (LP),15,11,8,53,34,59,54,5,https://logodetimes.com/times/estudiantes-de-la-plata/estudiantes-de-la-plata-256.png
59,1934,Campeonato 1934,Ferro,3,24,7,16,34,40,93,-53,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Escudo_del_Club_Ferro_Carril_Oeste.svg/120px-Escudo_del_Club_Ferro_Carril_Oeste.svg.png
60,1934,Campeonato 1934,Gimnasia (LP),12,14,8,44,34,72,74,-2,https://logodetimes.com/times/gimnasia-la-plata/logo-gimnasia-la-plata-256.png
61,1934,Campeonato 1934,Huracan,12,16,6,42,34,50,63,-13,https://logodetimes.com/times/huracan/logo-huracan-256.png
62,1934,Campeonato 1934,Independiente,18,8,8,62,34,63,40,23,https://logodetimes.com/times/club-atletico-independiente/club-atletico-independiente-256.png
63,1934,Campeonato 1934,Platense,14,12,8,50,34,60,67,-7,https://logodetimes.com/times/club-atletico-platense/club-atletico-platense-256.png
64,1934,Campeonato 1934,Racing Club,14,13,7,49,34,71,57,14,https://logodetimes.com/times/racing-club-de-avellaneda/racing-club-de-avellaneda-256.png
65,1934,Campeonato 1934,River Plate,18,12,4,58,34,67,41,26,https://logodetimes.com/times/river-plate/logo-river-plate-5.png
66,1934,Campeonato 1934,San Lorenzo,19,8,7,64,34,71,55,16,https://logodetimes.com/times/san-lorenzo/logo-san-lorenzo-256.png
67,1934,Campeonato 1934,Velez,12,14,8,44,34,65,64,1,https://logodetimes.com/times/velez-sarsfield/logo-velez-sarsfield-256.png
68,1935,Campeonato 1935,Argentinos,7,21,6,27,34,42,89,-47,https://logodetimes.com/times/argentinos-juniors/logo-argentinos-juniors-256.png
69,1935,Campeonato 1935,Atlanta,9,18,7,34,34,48,89,-41,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/C.a._atlanta.png/120px-C.a._atlanta.png
70,1935,Campeonato 1935,Boca Juniors,27,3,4,85,34,98,31,67,https://logodetimes.com/times/club-atletico-boca-juniors/club-atletico-boca-juniors-256.png
71,1935,Campeonato 1935,Chacarita,10,18,6,36,34,49,57,-8,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Escudo_del_Club_Atl%C3%A9tico_Chacarita_Juniors.svg/160px-Escudo_del_Club_Atl%C3%A9tico_Chacarita_Juniors.svg.png
72,1935,Campeonato 1935,Estudiantes (LP),14,11,9,51,34,78,52,26,https://logodetimes.com/times/estudiantes-de-la-plata/estudiantes-de-la-plata-256.png
73,1935,Campeonato 1935,Ferro,15,13,6,51,34,60,66,-6,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Escudo_del_Club_Ferro_Carril_Oeste.svg/120px-Escudo_del_Club_Ferro_Carril_Oeste.svg.png
74,1935,Campeonato 1935,Gimnasia (LP),12,17,5,41,34,52,75,-23,https://logodetimes.com/times/gimnasia-la-plata/logo-gimnasia-la-plata-256.png
75,1935,Campeonato 1935,Huracan,16,11,7,55,34,59,38,21,https://logodetimes.com/times/huracan/logo-huracan-256.png
76,1935,Campeonato 1935,Independiente,24,3,7,79,34,101,38,63,https://logodetimes.com/times/club-atletico-independiente/club-atletico-independiente-256.png
77,1935,Campeonato 1935,Lanus,13,17,4,43,34,56,79,-23,https://logodetimes.com/times/lanus/logo-lanus-256.png
78,1935,Campeonato 1935,Platense,11,16,7,40,34,49,61,-12,https://logodetimes.com/times/club-atletico-platense/club-atletico-platense-256.png
79,1935,Campeonato 1935,Quilmes,5,23,6,21,34,23,82,-59,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Escudo_QAC_Lotto_2012_-_2016.png/120px-Escudo_QAC_Lotto_2012_-_2016.png
80,1935,Campeonato 1935,Racing Club,13,16,5,44,34,55,58,-3,https://logodetimes.com/times/racing-club-de-avellaneda/racing-club-de-avellaneda-256.png
81,1935,Campeonato 1935,River Plate,19,9,6,63,34,71,47,24,https://logodetimes.com/times/river-plate/logo-river-plate-5.png
82,1935,Campeonato 1935,San Lorenzo,23,8,3,72,34,92,45,47,https://logodetimes.com/times/san-lorenzo/logo-san-lorenzo-256.png
83,1935,Campeonato 1935,Talleres (RdE),11,15,8,41,34,60,70,-10,https://i.postimg.cc/W4h5L0XM/pngwing-com.png
84,1935,Campeonato 1935,Tigre,3,25,6,15,34,38,85,-47,https://logodetimes.com/times/tigre/logo-tigre-256.png
85,1935,Campeonato 1935,Velez,19,7,8,65,34,77,46,31,https://logodetimes.com/times/velez-sarsfield/logo-velez-sarsfield-256.png
86,1936,Campeonato 1936,Argentinos,7,6,4,25,17,26,32,-6,https://logodetimes.com/times/argentinos-juniors/logo-argentinos-juniors-256.png
87,1936,Copa de Honor 1936,Argentinos,1,14,1,4,16,14,48,-34,https://logodetimes.com/times/argentinos-juniors/logo-argentinos-juniors-256.png
88,1936,Campeonato 1936,Atlanta,8,6,3,27,17,39,30,9,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/C.a._atlanta.png/120px-C.a._atlanta.png
89,1936,Copa de Honor 1936,Atlanta,7,6,3,24,16,34,38,-4,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/C.a._atlanta.png/120px-C.a._atlanta.png
90,1936,Campeonato 1936,Boca Juniors,9,6,2,29,17,39,19,20,https://logodetimes.com/times/club-atletico-boca-juniors/club-atletico-boca-juniors-256.png
91,1936,Copa de Honor 1936,Boca Juniors,10,3,4,34,17,36,17,19,https://logodetimes.com/times/club-atletico-boca-juniors/club-atletico-boca-juniors-256.png
92,1936,Campeonato 1936,Chacarita,6,7,4,22,17,36,42,-6,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Escudo_del_Club_Atl%C3%A9tico_Chacarita_Juniors.svg/160px-Escudo_del_Club_Atl%C3%A9tico_Chacarita_Juniors.svg.png
93,1936,Copa de Honor 1936,Chacarita,7,6,4,25,17,31,31,0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Escudo_del_Club_Atl%C3%A9tico_Chacarita_Juniors.svg/160px-Escudo_del_Club_Atl%C3%A9tico_Chacarita_Juniors.svg.png
94,1936,Campeonato 1936,Estudiantes (LP),6,7,4,22,17,32,32,0,https://logodetimes.com/times/estudiantes-de-la-plata/estudiantes-de-la-plata-256.png
95,1936,Copa de Honor 1936,Estudiantes (LP),8,8,1,25,17,40,34,6,https://logodetimes.com/times/estudiantes-de-la-plata/estudiantes-de-la-plata-256.png
96,1936,Campeonato 1936,Ferro,7,7,3,24,17,30,36,-6,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Escudo_del_Club_Ferro_Carril_Oeste.svg/120px-Escudo_del_Club_Ferro_Carril_Oeste.svg.png
97,1936,Copa de Honor 1936,Ferro,5,9,4,19,18,37,50,-13,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Escudo_del_Club_Ferro_Carril_Oeste.svg/120px-Escudo_del_Club_Ferro_Carril_Oeste.svg.png
98,1936,Campeonato 1936,Gimnasia (LP),6,9,2,20,17,31,48,-17,https://logodetimes.com/times/gimnasia-la-plata/logo-gimnasia-la-plata-256.png
99,1936,Copa de Honor 1936,Gimnasia (LP),4,8,5,17,17,33,45,-12,https://logodetimes.com/times/gimnasia-la-plata/logo-gimnasia-la-plata-256.png
100,1936,Campeonato 1936,Huracan,7,6,4,25,17,32,22,10,https://logodetimes.com/times/huracan/logo-huracan-256.png
101,1936,Copa de Honor 1936,Huracan,11,3,3,36,17,33,20,13,https://logodetimes.com/times/huracan/logo-huracan-256.png
102,1936,Campeonato 1936,Independiente,10,6,1,31,17,32,29,3,https://logodetimes.com/times/club-atletico-independiente/club-atletico-independiente-256.png
103,1936,Copa de Honor 1936,Independiente,7,4,5,26,16,35,25,10,https://logodetimes.com/times/club-atletico-independiente/club-atletico-independiente-256.png
104,1936,Campeonato 1936,Lanus,5,10,2,17,17,27,43,-16,https://logodetimes.com/times/lanus/logo-lanus-256.png
105,1936,Copa de Honor 1936,Lanus,3,11,3,12,17,29,43,-14,https://logodetimes.com/times/lanus/logo-lanus-256.png
106,1936,Campeonato 1936,Platense,6,4,7,25,17,26,29,-3,https://logodetimes.com/times/club-atletico-platense/club-atletico-platense-256.png
107,1936,Copa de Honor 1936,Platense,5,7,4,19,16,23,26,-3,https://logodetimes.com/times/club-atletico-platense/club-atletico-platense-256.png
108,1936,Campeonato 1936,Quilmes,4,10,3,15,17,24,39,-15,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Escudo_QAC_Lotto_2012_-_2016.png/120px-Escudo_QAC_Lotto_2012_-_2016.png
109,1936,Copa de Honor 1936,Quilmes,6,6,4,22,16,27,26,1,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Escudo_QAC_Lotto_2012_-_2016.png/120px-Escudo_QAC_Lotto_2012_-_2016.png
110,1936,Campeonato 1936,Racing Club,10,4,3,33,17,43,27,16,https://logodetimes.com/times/racing-club-de-avellaneda/racing-club-de-avellaneda-256.png
111,1936,Copa de Honor 1936,Racing Club,8,6,3,27,17,37,27,10,https://logodetimes.com/times/racing-club-de-avellaneda/racing-club-de-avellaneda-256.png
112,1936,Campeonato 1936,River Plate,14,2,2,44,18,53,21,32,https://logodetimes.com/times/river-plate/logo-river-plate-5.png
113,1936,Copa de Honor 1936,River Plate,9,5,3,30,17,35,25,10,https://logodetimes.com/times/river-plate/logo-river-plate-5.png
114,1936,Campeonato 1936,San Lorenzo,11,5,2,35,18,43,28,15,https://logodetimes.com/times/san-lorenzo/logo-san-lorenzo-256.png
115,1936,Copa de Honor 1936,San Lorenzo,12,1,4,40,17,45,21,24,https://logodetimes.com/times/san-lorenzo/logo-san-lorenzo-256.png
116,1936,Campeonato 1936,Talleres (RdE),1,11,5,8,17,19,43,-24,https://i.postimg.cc/W4h5L0XM/pngwing-com.png
117,1936,Copa de Honor 1936,Talleres (RdE),6,7,0,18,13,27,30,-3,https://i.postimg.cc/W4h5L0XM/pngwing-com.png
118,1936,Campeonato 1936,Tigre,2,11,4,10,17,21,43,-22,https://logodetimes.com/times/tigre/logo-tigre-256.png
119,1936,Copa de Honor 1936,Tigre,2,12,3,9,17,17,42,-25,https://logodetimes.com/times/tigre/logo-tigre-256.png
120,1936,Campeonato 1936,Velez,7,9,1,22,17,45,35,10,https://logodetimes.com/times/velez-sarsfield/logo-velez-sarsfield-256.png
121,1936,Copa de Honor 1936,Velez,10,5,2,32,17,40,25,15,https://logodetimes.com/times/velez-sarsfield/logo-velez-sarsfield-256.png
122,1937,Campeonato 1937,Argentinos,4,27,3,15,34,44,111,-67,https://logodetimes.com/times/argentinos-juniors/logo-argentinos-juniors-256.png
123,1937,Campeonato 1937,Atlanta,12,15,7,43,34,61,66,-5,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/C.a._atlanta.png/120px-C.a._atlanta.png
124,1937,Campeonato 1937,Boca Juniors,20,10,5,65,35,104,62,42,https://logodetimes.com/times/club-atletico-boca-juniors/club-atletico-boca-juniors-256.png
125,1937,Campeonato 1937,Chacarita,10,15,9,39,34,63,76,-13,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Escudo_del_Club_Atl%C3%A9tico_Chacarita_Juniors.svg/160px-Escudo_del_Club_Atl%C3%A9tico_Chacarita_Juniors.svg.png
126,1937,Campeonato 1937,Estudiantes (LP),13,13,8,47,34,63,64,-1,https://logodetimes.com/times/estudiantes-de-la-plata/estudiantes-de-la-plata-256.png
127,1937,Campeonato 1937,Ferro,15,14,5,50,34,78,79,-1,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Escudo_del_Club_Ferro_Carril_Oeste.svg/120px-Escudo_del_Club_Ferro_Carril_Oeste.svg.png
128,1937,Campeonato 1937,Gimnasia (LP),16,13,5,53,34,68,60,8,https://logodetimes.com/times/gimnasia-la-plata/logo-gimnasia-la-plata-256.png
129,1937,Campeonato 1937,Huracan,17,13,4,55,34,82,62,20,https://logodetimes.com/times/huracan/logo-huracan-256.png
130,1937,Campeonato 1937,Independiente,25,7,2,77,34,106,54,52,https://logodetimes.com/times/club-atletico-independiente/club-atletico-independiente-256.png
131,1937,Campeonato 1937,Lanus,13,16,5,44,34,68,79,-11,https://logodetimes.com/times/lanus/logo-lanus-256.png
132,1937,Campeonato 1937,Platense,12,15,7,43,34,61,67,-6,https://logodetimes.com/times/club-atletico-platense/club-atletico-platense-256.png
133,1937,Campeonato 1937,Quilmes,3,27,4,13,34,42,110,-68,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Escudo_QAC_Lotto_2012_-_2016.png/120px-Escudo_QAC_Lotto_2012_-_2016.png
134,1937,Campeonato 1937,Racing Club,16,10,8,56,34,87,65,22,https://logodetimes.com/times/racing-club-de-avellaneda/racing-club-de-avellaneda-256.png
135,1937,Campeonato 1937,River Plate,28,3,4,88,35,111,46,65,https://logodetimes.com/times/river-plate/logo-river-plate-5.png
136,1937,Campeonato 1937,San Lorenzo,15,10,9,54,34,70,62,8,https://logodetimes.com/times/san-lorenzo/logo-san-lorenzo-256.png
137,1937,Campeonato 1937,Talleres (RdE),10,18,6,36,34,60,88,-28,https://i.postimg.cc/W4h5L0XM/pngwing-com.png
138,1937,Campeonato 1937,Tigre,11,20,3,36,34,62,84,-22,https://logodetimes.com/times/tigre/logo-tigre-256.png
139,1937,Campeonato 1937,Velez,18,12,4,58,34,63,58,5,https://logodetimes.com/times/velez-sarsfield/logo-velez-sarsfield-256.png
140,1938,Campeonato 1938,Almagro,8,19,5,29,32,63,94,-31,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Escudo_del_Club_Almagro.svg/150px-Escudo_del_Club_Almagro.svg.png
141,1938,Campeonato 1938,Atlanta,12,16,4,40,32,61,70,-9,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/C.a._atlanta.png/120px-C.a._atlanta.png
142,1938,Campeonato 1938,Boca Juniors,13,10,9,48,32,66,53,13,https://logodetimes.com/times/club-atletico-boca-juniors/club-atletico-boca-juniors-256.png
143,1938,Campeonato 1938,Chacarita,10,17,5,35,32,66,92,-26,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Escudo_del_Club_Atl%C3%A9tico_Chacarita_Juniors.svg/160px-Escudo_del_Club_Atl%C3%A9tico_Chacarita_Juniors.svg.png
144,1938,Campeonato 1938,Estudiantes (LP),16,13,3,51,32,70,77,-7,https://logodetimes.com/times/estudiantes-de-la-plata/estudiantes-de-la-plata-256.png
145,1938,Campeonato 1938,Ferro,9,15,8,35,32,68,89,-21,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Escudo_del_Club_Ferro_Carril_Oeste.svg/120px-Escudo_del_Club_Ferro_Carril_Oeste.svg.png
146,1938,Campeonato 1938,Gimnasia (LP),15,12,5,50,32,83,69,14,https://logodetimes.com/times/gimnasia-la-plata/logo-gimnasia-la-plata-256.png
147,1938,Campeonato 1938,Huracan,14,15,3,45,32,85,89,-4,https://logodetimes.com/times/huracan/logo-huracan-256.png
148,1938,Campeonato 1938,Independiente,25,4,3,78,32,115,37,78,https://logodetimes.com/times/club-atletico-independiente/club-atletico-independiente-256.png
149,1938,Campeonato 1938,Lanus,8,15,9,33,32,75,95,-20,https://logodetimes.com/times/lanus/logo-lanus-256.png
150,1938,Campeonato 1938,Platense,10,16,6,36,32,84,100,-16,https://logodetimes.com/times/club-atletico-platense/club-atletico-platense-256.png
151,1938,Campeonato 1938,Racing Club,16,9,7,55,32,102,63,39,https://logodetimes.com/times/racing-club-de-avellaneda/racing-club-de-avellaneda-256.png
152,1938,Campeonato 1938,River Plate,23,4,5,74,32,105,49,56,https://logodetimes.com/times/river-plate/logo-river-plate-5.png
153,1938,Campeonato 1938,San Lorenzo,18,7,7,61,32,87,67,20,https://logodetimes.com/times/san-lorenzo/logo-san-lorenzo-256.png
154,1938,Campeonato 1938,Talleres (RdE),6,20,6,24,32,55,103,-48,https://i.postimg.cc/W4h5L0XM/pngwing-com.png
155,1938,Campeonato 1938,Tigre,11,17,4,37,32,71,102,-31,https://logodetimes.com/times/tigre/logo-tigre-256.png
156,1938,Campeonato 1938,Velez,11,16,5,38,32,78,85,-7,https://logodetimes.com/times/velez-sarsfield/logo-velez-sarsfield-256.png
157,1939,Campeonato 1939,Atlanta,6,20,6,24,32,48,89,-41,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/C.a._atlanta.png/120px-C.a._atlanta.png
158,1939,Campeonato 1939,Boca Juniors,15,11,6,51,32,55,39,16,https://logodetimes.com/times/club-atletico-boca-juniors/club-atletico-boca-juniors-256.png
159,1939,Campeonato 1939,Chacarita,12,14,6,42,32,55,53,2,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Escudo_del_Club_Atl%C3%A9tico_Chacarita_Juniors.svg/160px-Escudo_del_Club_Atl%C3%A9tico_Chacarita_Juniors.svg.png
160,1939,Campeonato 1939,Estudiantes (LP),12,14,6,42,32,66,64,2,https://logodetimes.com/times/estudiantes-de-la-plata/estudiantes-de-la-plata-256.png
161,1939,Campeonato 1939,Ferro,2,23,7,13,32,41,110,-69,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Escudo_del_Club_Ferro_Carril_Oeste.svg/120px-Escudo_del_Club_Ferro_Carril_Oeste.svg.png
162,1939,Campeonato 1939,Gimnasia (LP),9,16,7,34,32,43,80,-37,https://logodetimes.com/times/gimnasia-la-plata/logo-gimnasia-la-plata-256.png
163,1939,Campeonato 1939,Huracan,22,7,5,71,34,93,58,35,https://logodetimes.com/times/huracan/logo-huracan-256.png
164,1939,Campeonato 1939,Independiente,25,6,2,77,33,94,38,56,https://logodetimes.com/times/club-atletico-independiente/club-atletico-independiente-256.png
165,1939,Campeonato 1939,Lanus,12,18,2,38,32,78,81,-3,https://logodetimes.com/times/lanus/logo-lanus-256.png
166,1939,Campeonato 1939,Newells,15,8,9,54,32,70,44,26,https://logodetimes.com/times/newells-old-boys/logo-newells-old-boys-256.png
167,1939,Campeonato 1939,Platense,10,16,6,36,32,55,70,-15,https://logodetimes.com/times/club-atletico-platense/club-atletico-platense-256.png
168,1939,Campeonato 1939,Racing Club,14,12,6,48,32,65,53,12,https://logodetimes.com/times/racing-club-de-avellaneda/racing-club-de-avellaneda-256.png
