ID,Año,Campeonato,Equipo,Ganados,Perdidos,Empatados,Puntos,Partidos Jugados,GF,GC,DIF,Logo
959,1974,Nacional 1974,Chacarita,8,7,1,25,16,31,28,3,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Escudo_del_Club_Atl%C3%A9tico_Chacarita_Juniors.svg/160px-Escudo_del_Club_Atl%C3%A9tico_Chacarita_Juniors.svg.png
960,1974,Nacional 1974,Chaco For Ever,3,7,8,17,18,19,30,-11,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Chaco_For_Ever-ARG.png/120px-Chaco_For_Ever-ARG.png
961,1974,Metropolitano 1974,Colon,8,5,5,29,18,30,30,0,https://logodetimes.com/times/colon/logo-colon-256.png
962,1974,Nacional 1974,Colon,4,8,6,18,18,20,22,-2,https://logodetimes.com/times/colon/logo-colon-256.png
963,1974,Nacional 1974,Dep Mandiyu (C),2,10,4,10,16,17,35,-18,https://i.postimg.cc/W4h5L0XM/pngwing-com.png
964,1974,Nacional 1974,Desamparados,3,8,5,14,16,21,32,-11,https://i.postimg.cc/W4h5L0XM/pngwing-com.png
965,1974,Metropolitano 1974,Estudiantes (LP),5,10,3,18,18,21,28,-7,https://logodetimes.com/times/estudiantes-de-la-plata/estudiantes-de-la-plata-256.png
966,1974,Nacional 1974,Estudiantes (LP),6,6,4,22,16,20,19,1,https://logodetimes.com/times/estudiantes-de-la-plata/estudiantes-de-la-plata-256.png
967,1974,Metropolitano 1974,Ferro,8,4,7,31,19,28,22,6,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Escudo_del_Club_Ferro_Carril_Oeste.svg/120px-Escudo_del_Club_Ferro_Carril_Oeste.svg.png
968,1974,Nacional 1974,Ferro,13,7,3,42,23,36,29,7,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Escudo_del_Club_Ferro_Carril_Oeste.svg/120px-Escudo_del_Club_Ferro_Carril_Oeste.svg.png
969,1974,Metropolitano 1974,Gimnasia (LP),6,7,5,23,18,30,29,1,https://logodetimes.com/times/gimnasia-la-plata/logo-gimnasia-la-plata-256.png
970,1974,Nacional 1974,Gimnasia (LP),9,6,3,30,18,29,22,7,https://logodetimes.com/times/gimnasia-la-plata/logo-gimnasia-la-plata-256.png
971,1974,Nacional 1974,Godoy Cruz,2,13,1,7,16,12,33,-21,https://logodetimes.com/times/godoy-cruz/logo-godoy-cruz-256.png
972,1974,Metropolitano 1974,Huracan,9,7,5,32,21,36,35,1,https://logodetimes.com/times/huracan/logo-huracan-256.png
973,1974,Nacional 1974,Huracan,9,4,5,32,18,38,24,14,https://logodetimes.com/times/huracan/logo-huracan-256.png
974,1974,Nacional 1974,Huracan (CR),4,6,6,18,16,19,36,-17,https://i.postimg.cc/W4h5L0XM/pngwing-com.png
975,1974,Nacional 1974,Huracan (SR),1,13,4,7,18,12,48,-36,https://i.postimg.cc/W4h5L0XM/pngwing-com.png
976,1974,Metropolitano 1974,Independiente,7,5,6,27,18,38,23,15,https://logodetimes.com/times/club-atletico-independiente/club-atletico-independiente-256.png
977,1974,Nacional 1974,Independiente,13,7,5,44,25,58,28,30,https://logodetimes.com/times/club-atletico-independiente/club-atletico-independiente-256.png
978,1974,Nacional 1974,Jorge Newbery (J),1,6,9,12,16,8,17,-9,https://i.postimg.cc/W4h5L0XM/pngwing-com.png
979,1974,Metropolitano 1974,Newells,12,4,5,41,21,38,31,7,https://logodetimes.com/times/newells-old-boys/logo-newells-old-boys-256.png
980,1974,Nacional 1974,Newells,9,8,10,37,27,36,37,-1,https://logodetimes.com/times/newells-old-boys/logo-newells-old-boys-256.png
